zip_code,lat,lon,city,state,county,type,state_full
75418,33.571923,-96.170962,BONHAM,TX,FANNIN,STANDARD,Texas
75420,33.052795,-95.721229,BRASHEAR,TX,HOPKINS,STANDARD,Texas
75421,33.661952,-95.731358,BROOKSTON,TX,LAMAR,STANDARD,Texas
75422,33.141399,-95.934194,CAMPBELL,TX,HUNT,STANDARD,Texas
75423,33.284390,-96.200387,CELESTE,TX,HUNT,STANDARD,Texas
75424,33.321716,-96.378504,BLUE RIDGE,TX,COLLIN,STANDARD,Texas
75425,33.860000,-95.570001,CHICOTA,TX,LAMAR,PO BOX ONLY,Texas
75426,33.663062,-94.997256,CLARKSVILLE,TX,RED RIVER,STANDARD,Texas
75428,33.271870,-95.917412,COMMERCE,TX,HUNT,STANDARD,Texas
75429,33.230001,-95.900002,COMMERCE,TX,HUNT,STANDARD,Texas
75431,33.014191,-95.460937,COMO,TX,HOPKINS,STANDARD,Texas
75432,33.397600,-95.681770,COOPER,TX,DELTA,STANDARD,Texas
75433,33.098096,-95.803232,CUMBY,TX,HOPKINS,STANDARD,Texas
75434,33.419999,-95.350001,CUNNINGHAM,TX,LAMAR,PO BOX ONLY,Texas
75435,33.482646,-95.320085,DEPORT,TX,LAMAR,STANDARD,Texas
75436,33.713766,-95.240035,DETROIT,TX,RED RIVER,STANDARD,Texas
75437,33.261225,-95.472418,DIKE,TX,HOPKINS,STANDARD,Texas
75438,33.615572,-96.072164,DODD CITY,TX,FANNIN,STANDARD,Texas
75439,33.553519,-96.282895,ECTOR,TX,FANNIN,STANDARD,Texas
75440,32.881156,-95.747764,EMORY,TX,RAINS,STANDARD,Texas
75441,33.427656,-95.642914,ENLOE,TX,DELTA,PO BOX ONLY,Texas
75442,33.174219,-96.356006,FARMERSVILLE,TX,COLLIN,STANDARD,Texas
75443,33.460000,-96.099997,GOBER,TX,FANNIN,PO BOX ONLY,Texas
75444,32.720001,-95.560002,GOLDEN,TX,WOOD,PO BOX ONLY,Texas
75446,33.615165,-95.900111,HONEY GROVE,TX,FANNIN,STANDARD,Texas
75447,33.776751,-96.109368,IVANHOE,TX,FANNIN,STANDARD,Texas
75448,33.316269,-95.788970,KLONDIKE,TX,DELTA,STANDARD,Texas
75449,33.420870,-95.945709,LADONIA,TX,FANNIN,STANDARD,Texas
75450,33.402251,-95.483203,LAKE CREEK,TX,DELTA,STANDARD,Texas
75451,32.965771,-95.127064,LEESBURG,TX,CAMP,STANDARD,Texas
75452,33.402227,-96.238568,LEONARD,TX,FANNIN,STANDARD,Texas
75453,32.988834,-95.911354,LONE OAK,TX,HUNT,STANDARD,Texas
75454,33.285646,-96.564818,MELISSA,TX,COLLIN,STANDARD,Texas
75455,33.216221,-94.979108,MOUNT PLEASANT,TX,TITUS,STANDARD,Texas
75456,33.160002,-94.970003,MOUNT PLEASANT,TX,TITUS,STANDARD,Texas
75457,33.168594,-95.215152,MOUNT VERNON,TX,FRANKLIN,STANDARD,Texas
75458,33.209998,-96.279999,MERIT,TX,HUNT,PO BOX ONLY,Texas
75459,33.532619,-96.671492,HOWE,TX,GRAYSON,STANDARD,Texas
75460,33.655539,-95.605040,PARIS,TX,LAMAR,STANDARD,Texas
75461,33.659999,-95.540003,PARIS,TX,LAMAR,STANDARD,Texas
75462,33.624550,-95.490115,PARIS,TX,LAMAR,STANDARD,Texas
75468,33.502170,-95.402880,PATTONVILLE,TX,LAMAR,STANDARD,Texas
75469,33.421410,-95.810602,PECAN GAP,TX,DELTA,STANDARD,Texas
75470,33.576824,-95.809700,PETTY,TX,LAMAR,STANDARD,Texas
75471,33.056808,-95.373517,PICKTON,TX,HOPKINS,STANDARD,Texas
75472,32.884424,-95.869601,POINT,TX,RAINS,STANDARD,Texas
75473,33.815580,-95.488005,POWDERLY,TX,LAMAR,STANDARD,Texas
75474,32.924199,-96.109812,QUINLAN,TX,HUNT,STANDARD,Texas
75475,33.474894,-96.238246,RANDOLPH,TX,FANNIN,PO BOX ONLY,Texas
75476,33.708312,-96.240651,RAVENNA,TX,FANNIN,STANDARD,Texas
75477,33.529907,-95.738072,ROXTON,TX,LAMAR,STANDARD,Texas
75478,33.176531,-95.358600,SALTILLO,TX,HOPKINS,STANDARD,Texas
75479,33.618239,-96.333077,SAVOY,TX,FANNIN,STANDARD,Texas
75480,33.024586,-95.197134,SCROGGINS,TX,FRANKLIN,STANDARD,Texas
75481,33.320016,-95.373476,SULPHUR BLUFF,TX,HOPKINS,STANDARD,Texas
75482,33.167979,-95.608216,SULPHUR SPRINGS,TX,HOPKINS,STANDARD,Texas
75483,33.139999,-95.609999,SULPHUR SPRINGS,TX,HOPKINS,STANDARD,Texas
75485,33.350000,-96.450003,WESTMINSTER,TX,COLLIN,PO BOX ONLY,Texas
